ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	BORROWING	NOTE
1518	Ikpeng	RED	ratpano	ratpano	r a t p a n o	r a t p a n o	474		
1519	Kari'ña	RED	t-api-re	tapire	t a p i r e	t a - p - i r - - e	469		
1520	Karijona	RED	t-ami-re-mɨ	tamiremɨ	t a m i r e m ɨ	t a - m - i r e m ɨ	470		
1521	Kuikuro	RED	kahisi	kahisi	k a h i s i	k a h i s i	477		
1522	Macushi	RED	suuju	suuju	s u u j u	s u - - u j u	471		
1523	Mapoyo	RED	t-apii-re	tapiire	t a p i i r e	t a - p i i r - - e	469		
1524	Panare	RED	t-uʔkin-ke	tuʔkinke	t u ʔ k i n k e	t u ʔ k i n k e	476		
1525	Pemón	RED	suuju	suuju	s u u j u	s u - - u j u	471		
1526	Tamanaku	RED	t-oʔpi-re	toʔpire	t o ʔ p i r e	t o ʔ p - i r - - e	469		
1527	Tiriyó	RED	t-aamii-re	taamiire	t a a m i i r e	t a a m i i r - - e	470		
1528	Waimiri-Atroari	RED	ʃiwia	ʃiwia	ʃ i w i a	ʃ i w i a	479		
1529	Waiwai	RED	t͡ʃ-ɨt͡ʃu-re	t͡ʃɨt͡ʃure	t͡ʃ ɨ t͡ʃ u r e	t͡ʃ ɨ t͡ʃ u r e	472		
1530	Wayana	RED	t-akpi-re-mɨ	takpiremɨ	t a k p i r e m ɨ	t a k p - i r e m ɨ	469		
1531	Werikyana	RED	t-akpi-re	takpire	t a k p i r e	t a k p - i r - - e	469		
1532	Yawarana	RED	t-api-rə-mu	tapirəmu	t a p i r ə m u	t a - p - i r ə m u	469		
1533	Ye'kwana	RED	seweit͡ʃe	seweit͡ʃe	s e w e i t͡ʃ e	s e w e i t͡ʃ e	471		
1534	Yukpa	RED	kuʃumt͡ʃe	kuʃumt͡ʃe	k u ʃ u m t͡ʃ e	k u ʃ u m t͡ʃ e	478		
1535	Akawaio	ROOT	miʔ	miʔ	m i ʔ	- m i - ʔ -	480		
1536	Akawaio	ROOT	kara	kara	k a r a	k a r a	481		
1537	Akuriyó	ROOT	mɨtɨ	mɨtɨ	m ɨ t ɨ	- m ɨ - t ɨ	480		
1538	Apalaí	ROOT	miʔtɨ	miʔtɨ	m i ʔ t ɨ	- m i ʔ t ɨ	480		
1539	Arara	ROOT	ɨpɨ	ɨpɨ	ɨ p ɨ	ɨ p ɨ	485		
1540	Bakairi	ROOT	wĩdɨ	wĩdɨ	w ĩ d ɨ	- w ĩ - d ɨ	480		
1541	Hixkaryána	ROOT	mʃa	mʃa	m ʃ a	m ʃ a	482		
1542	Ikpeng	ROOT	mi	mi	m i	- m i - - -	480		
1543	Ingarikó	ROOT	kara	kara	k a r a	k a r a	481		
1544	Kari'ña	ROOT	mi(tɨ)	mi	m i	- m i - - -	480		
1545	Karijona	ROOT	imitɨ	imitɨ	i m i t ɨ	i m i - t ɨ	480		
1546	Kuikuro	ROOT	ĩĩ	ĩĩ	ĩ ĩ	- - ĩ - - ĩ	480		
1547	Macushi	ROOT	kara	kara	k a r a	k a r a	481		
1548	Mapoyo	ROOT	miti	miti	m i t i	- m i - t i	480		
1549	Panare	ROOT	-miʔ	miʔ	m i ʔ	- m i - ʔ -	480		
1550	Pemón	ROOT	kara	kara	k a r a	k a r a	481		
1551	Tamanaku	ROOT	miti	miti	m i t i	- m i - t i	480		
1552	Tiriyó	ROOT	mɨ(tɨ)	mɨ	m ɨ	- m ɨ - - -	480		
1553	Waimiri-Atroari	ROOT	wewi nit͡ʃi	wewi nit͡ʃi	w e w i + n i t͡ʃ i	w e w i + n i t͡ʃ i	483		
1554	Waiwai	ROOT	mit͡ʃi	mit͡ʃi	m i t͡ʃ i	- m i - t͡ʃ i	480		
1555	Wayana	ROOT	mit	mit	m i t	- m i - t -	480		
1556	Werikyana	ROOT	imitɨ	imitɨ	i m i t ɨ	i m i - t ɨ	480		
1557	Yawarana	ROOT	mitti	mitti	m i t t i	- m i t t i	480		
1558	Ye'kwana	ROOT	mit͡ʃɨ	mit͡ʃɨ	m i t͡ʃ ɨ	- m i - t͡ʃ ɨ	480		
1559	Yukpa	ROOT	eʃe	eʃe	e ʃ e	e ʃ e	484		
1560	Akawaio	ROUND	tɨri-rin	tɨririn	t ɨ r i r i n	t ɨ r - - i r i - - n	487		
1561	Apalaí	ROUND	zomɨe	zomɨe	z o m ɨ e	z o m ɨ e	494		
1562	Bakairi	ROUND	tɨ-dəpə-nẽ-ĩ	tɨdəpənẽĩ	t ɨ d ə p ə n ẽ ĩ	t ɨ d ə p ə n ẽ ĩ	491		
1563	Hixkaryána	ROUND	t-amno-ɲe	tamnoɲe	t a m n o ɲ e	t a m n o ɲ e	488		
1564	Ikpeng	ROUND	pute-re-ŋ	putereŋ	p u t e r e ŋ	p u t e r e ŋ	490		
1565	Ingarikó	ROUND	aʔmokoipɨ	aʔmokoipɨ	a ʔ m o k o i p ɨ	a ʔ m o k o - - i p ɨ	486		
1566	Kari'ña	ROUND	t-aʔmotoʔ-ke	taʔmotoʔke	t a ʔ m o t o ʔ k e	t a ʔ m o t o ʔ k e	495		
1567	Karijona	ROUND	imoriri	imoriri	i m o r i r i	i m o r i r i	492		
1568	Kuikuro	ROUND	ɣiaki	ɣiaki	ɣ i a k i	ɣ i a k i	500		
1569	Macushi	ROUND	amokoʔwarɨ	amokoʔwarɨ	a m o k o ʔ w a r ɨ	a - m o k o ʔ w a r ɨ	486		
1570	Mapoyo	ROUND	pone	pone	p o n e	p o n e	499		
1571	Panare	ROUND	tɨ-muruʔku-ke	tɨmuruʔkuke	t ɨ m u r u ʔ k u k e	t ɨ m u r u ʔ k u k e	497		
1572	Pemón	ROUND	tɨritɨri-pan	tɨritɨripan	t ɨ r i t ɨ r i p a n	t ɨ r i t ɨ r i p a n	487		
1573	Tiriyó	ROUND	moka-me	mokame	m o k a m e	- - m o k - - - a m e	486		
1574	Waimiri-Atroari	ROUND	abremɨhsa	abremɨhsa	a b r e m ɨ h s a	a b r e m ɨ h s a	502		
1575	Waiwai	ROUND	t-amno-ɲe	tamnoɲe	t a m n o ɲ e	t a m n o ɲ e	488		
1576	Wayana	ROUND	taptərə	taptərə	t a p t ə r ə	t a p t ə r ə	493		
1577	Wayana	ROUND	mereman	mereman	m e r e m a n	m e r e m a n	503		
1578	Werikyana	ROUND	t-oʔme-re-hoko	toʔmerehoko	t o ʔ m e r e h o k o	t o ʔ m e r e h o k o	489		
1579	Yawarana	ROUND	wanəmohje	wanəmohje	w a n ə m o h j e	w a n ə m o h j e	498		
1580	Ye'kwana	ROUND	t-awejurah-to	tawejurahto	t a w e j u r a h t o	t a w e j u r a h t o	496		
1581	Yukpa	ROUND	tuwiriri	tuwiriri	t u w i r i r i	t u w i r i r i	501		
1582	Akawaio	SAND	wəʔsəpu	wəʔsəpu	w ə ʔ s ə p u	w ə ʔ s ə p u	507		
1583	Akuriyó	SAND	t͡ʃamutu	t͡ʃamutu	t͡ʃ a m u t u	t͡ʃ a m u t u	504		
1584	Apalaí	SAND	sawa	sawa	s a w a	- s a w a	508		
1585	Arara	SAND	ireŋmuŋo	ireŋmuŋo	i r e ŋ m u ŋ o	i r e ŋ m u ŋ o	509		
1586	Bakairi	SAND	sagunu	sagunu	s a g u n u	- s a g - - u n u	505		
1587	Hixkaryána	SAND	sakarara	sakarara	s a k a r a r a	- s a k a r a r a	505		
1588	Ikpeng	SAND	reŋmun	reŋmun	r e ŋ m u n	- r e ŋ m u n -	509		
1589	Kari'ña	SAND	sakau	sakau	s a k a u	- s a k - - a - u	505		
1590	Karijona	SAND	samutu	samutu	s a m u t u	s a m u t u	504		
1591	Kuikuro	SAND	ɲetune	ɲetune	ɲ e t u n e	ɲ e t u n e	512		
1592	Macushi	SAND	saka-pan	sakapan	s a k a p a n	- s a k a p a n -	505		
1593	Mapoyo	SAND	saasapa	saasapa	s a a s a p a	s a a s a p a	506		
1594	Panare	SAND	mit͡ʃin	mit͡ʃin	m i t͡ʃ i n	m i t͡ʃ i n	511		
1595	Pemón	SAND	əʔsəkə	əʔsəkə	ə ʔ s ə k ə	- ə ʔ s ə k ə	507		
1596	Tamanaku	SAND	t͡ʃakau	t͡ʃakau	t͡ʃ a k a u	- t͡ʃ a k - - a - u	505		
1597	Tiriyó	SAND	samu	samu	s a m u	s a m - - u	504		
1598	Waimiri-Atroari	SAND	kiʃiɲa	kiʃiɲa	k i ʃ i ɲ a	k i ʃ i ɲ a	513		
1599	Waiwai	SAND	aʃawa	aʃawa	a ʃ a w a	a ʃ a w a	508		
1600	Wayana	SAND	hamutu	hamutu	h a m u t u	h a m u t u	504		
1601	Werikyana	SAND	eresumna	eresumna	e r e s u m n a	e r e s u m n a	510		
1602	Yawarana	SAND	tsakaw	tsakaw	t s a k a w	t s a k - - a w -	505		
1603	Ye'kwana	SAND	saʔrara	saʔrara	s a ʔ r a r a	- s a ʔ - r a r a	505		
1604	Yukpa	SAND	sasare	sasare	s a s a r e	s a - s a r e	506		
1605	Akawaio	SAY	ka	ka	k a	k a -	514		
1606	Akuriyó	SAY	ka	ka	k a	k a -	514		
1607	Apalaí	SAY	ka	ka	k a	k a -	514		
1608	Arara	SAY	ke	ke	k e	k e -	514		
1609	Bakairi	SAY	ge	ge	g e	g e -	514		
1610	Hixkaryána	SAY	ka	ka	k a	k a -	514		
1611	Ikpeng	SAY	ke	ke	k e	k e -	514		
1612	Ingarikó	SAY	ka	ka	k a	k a -	514		
1613	Kari'ña	SAY	ka	ka	k a	k a -	514		
1614	Karijona	SAY	ka	ka	k a	k a -	514		
1615	Kuikuro	SAY	ki	ki	k i	k i -	514		
1616	Macushi	SAY	ka	ka	k a	k a -	514		
1617	Mapoyo	SAY	anoni	anoni	a n o n i	a n o n i	516		
1618	Panare	SAY	kaʔ	kaʔ	k a ʔ	k a ʔ	514		
1619	Pemón	SAY	ka	ka	k a	k a -	514		
1620	Tamanaku	SAY	ka	ka	k a	k a -	514		
1621	Tiriyó	SAY	ka	ka	k a	k a -	514		
1622	Waimiri-Atroari	SAY	ka; ke	ka	k a	k a -	514		
1623	Waimiri-Atroari	SAY	ka; ke	ke	k e	k e -	514		
1624	Waiwai	SAY	kas	kas	k a s	k a s	514		
1625	Wayana	SAY	ka	ka	k a	k a -	514		
1626	Werikyana	SAY	ka	ka	k a	k a -	514		
1627	Yawarana	SAY	jataru	jataru	j a t a r u	j a t a r u	517		
1628	Ye'kwana	SAY	əʔrɨ	əʔrɨ	ə ʔ r ɨ	ə ʔ r ɨ	515		
1629	Yukpa	SAY	ka	ka	k a	k a -	514		
1630	Akawaio	SEE	ene	ene	e n e	- e n e -	518		
1631	Akawaio	SEE	eraʔma	eraʔma	e r a ʔ m a	e r a ʔ m a	519		
1632	Akuriyó	SEE	ene	ene	e n e	- e n e -	518		
1633	Apalaí	SEE	ene	ene	e n e	- e n e -	518		
1634	Arara	SEE	eneŋ	eneŋ	e n e ŋ	- e n e ŋ	518		
1635	Bakairi	SEE	e	e	e	- e - - -	518		
1636	Hixkaryána	SEE	oɲe	oɲe	o ɲ e	- o ɲ e -	518		
1637	Ikpeng	SEE	eneŋ	eneŋ	e n e ŋ	- e n e ŋ	518		
1638	Ingarikó	SEE	ene	ene	e n e	- e n e -	518		
1639	Kari'ña	SEE	ene	ene	e n e	- e n e -	518		
1640	Karijona	SEE	ene	ene	e n e	- e n e -	518		
1641	Kuikuro	SEE	iŋi	iŋi	i ŋ i	- i ŋ i -	518		
1642	Macushi	SEE	eraʔma	eraʔma	e r a ʔ m a	e r a ʔ m a	519		
1643	Mapoyo	SEE	jeni	jeni	j e n i	j e n i -	518		
1644	Panare	SEE	iɲe	iɲe	i ɲ e	- i ɲ e -	518		
1645	Pemón	SEE	ereʔma	ereʔma	e r e ʔ m a	e r e ʔ m a	519		
1646	Tamanaku	SEE	ene	ene	e n e	- e n e -	518		
1647	Tiriyó	SEE	ene	ene	e n e	- e n e -	518		
1648	Waimiri-Atroari	SEE	ini	ini	i n i	- i n i -	518		
1649	Waiwai	SEE	enɨ	enɨ	e n ɨ	- e n ɨ -	518		
1650	Wayana	SEE	əne	əne	ə n e	- ə n e -	518		
1651	Werikyana	SEE	one	one	o n e	- o n e -	518		
1652	Yawarana	SEE	enə	enə	e n ə	- e n ə -	518		
1653	Ye'kwana	SEE	ene	ene	e n e	- e n e -	518		
1654	Yukpa	SEE	esare	esare	e s a r e	e s a r e	520		
1655	Akawaio	SEED	enaʔpə	enaʔpə	e n a ʔ p ə	e n a ʔ p - - ə	523		
1656	Apalaí	SEED	puʔtu	puʔtu	p u ʔ t u	- - - p u ʔ t - - - u	525		
1657	Arara	SEED	itpɨn	itpɨn	i t p ɨ n	- i t - - p ɨ n	521		
1658	Bakairi	SEED	ewɨ	ewɨ	e w ɨ	e w - - ɨ	524		
1659	Hixkaryána	SEED	natɨ	natɨ	n a t ɨ	- n a t - - - ɨ	523		
1660	Ikpeng	SEED	alɨ	alɨ	a l ɨ	a l ɨ	522		
1661	Kari'ña	SEED	opɨ	opɨ	o p ɨ	o p - - ɨ	524		
1662	Karijona	SEED	tɨ-rɨe-mɨ	tɨrɨemɨ	t ɨ r ɨ e m ɨ	t ɨ r ɨ e m ɨ	527		
1663	Kuikuro	SEED	aɣɨ	aɣɨ	a ɣ ɨ	a ɣ ɨ	522		
1664	Macushi	SEED	enaʔpɨ	enaʔpɨ	e n a ʔ p ɨ	e n a ʔ p - - ɨ	523		
1665	Mapoyo	SEED	jaʔpə	jaʔpə	j a ʔ p ə	j a - ʔ - p ə -	521		
1666	Panare	SEED	jahpə	jahpə	j a h p ə	j a - h - p ə -	521		
1667	Pemón	SEED	enaʔpə	enaʔpə	e n a ʔ p ə	e n a ʔ p - - ə	523		
1668	Tamanaku	SEED	atpe	atpe	a t p e	- a t - - p e -	521		
1669	Tiriyó	SEED	putupə	putupə	p u t u p ə	- - - p u - t u p - ə	525		
1670	Waimiri-Atroari	SEED	ba	ba	b a	b a	526		
1671	Waiwai	SEED	jathɨrɨ	jathɨrɨ	j a t h ɨ r ɨ	j a t h ɨ r ɨ -	521		
1672	Wayana	SEED	eputpɨɨ	eputpɨɨ	e p u t p ɨ ɨ	- - e p u - t - p ɨ ɨ	525		
1673	Werikyana	SEED	enatpɨrɨ	enatpɨrɨ	e n a t p ɨ r ɨ	e n a t p ɨ r ɨ	523		
1674	Yawarana	SEED	jahpə	jahpə	j a h p ə	j a - h - p ə -	521		
1675	Ye'kwana	SEED	t͡ʃəəhuʔhə	t͡ʃəəhuʔhə	t͡ʃ ə ə h u ʔ h ə	t͡ʃ ə ə h u ʔ h - - - ə	525		
1676	Yukpa	SEED	opɨrɨ	opɨrɨ	o p ɨ r ɨ	o p ɨ r ɨ	524		
1677	Akawaio	SKIN	piʔpə	piʔpə	p i ʔ p ə	p i ʔ - p ə -	528		
1678	Akuriyó	SKIN	pihpə	pihpə	p i h p ə	p i h - p ə -	528		
1679	Apalaí	SKIN	piʔpo	piʔpo	p i ʔ p o	p i ʔ - p o -	528		
1680	Arara	SKIN	iput	iput	i p u t	- i - - p u t	528		
1681	Bakairi	SKIN	tubɨ	tubɨ	t u b ɨ	t u - - b ɨ -	528		
1682	Hixkaryána	SKIN	hut͡ʃhu	hut͡ʃhu	h u t͡ʃ h u	h u t͡ʃ - h u -	528		
1683	Ikpeng	SKIN	pitu	pitu	p i t u	p i t - - u -	528		
1684	Ingarikó	SKIN	piʔpɨ	piʔpɨ	p i ʔ p ɨ	p i ʔ - p ɨ -	528		
1685	Kari'ña	SKIN	piʔpo	piʔpo	p i ʔ p o	p i ʔ - p o -	528		
1686	Karijona	SKIN	hitihə	hitihə	h i t i h ə	h i t i h ə -	528		
1687	Kuikuro	SKIN	hiɟo	hiɟo	h i ɟ o	h i ɟ - - o -	528		
1688	Macushi	SKIN	piʔpɨ	piʔpɨ	p i ʔ p ɨ	p i ʔ - p ɨ -	528		
1689	Mapoyo	SKIN	piʔpə	piʔpə	p i ʔ p ə	p i ʔ - p ə -	528		
1690	Panare	SKIN	pihpə	pihpə	p i h p ə	p i h - p ə -	528		
1691	Pemón	SKIN	piʔpə	piʔpə	p i ʔ p ə	p i ʔ - p ə -	528		
1692	Tamanaku	SKIN	pitpe	pitpe	p i t p e	p i t - p e -	528		
1693	Tiriyó	SKIN	pihpə	pihpə	p i h p ə	p i h - p ə -	528		
1694	Waimiri-Atroari	SKIN	biʃi	biʃi	b i ʃ i	b i ʃ - - i -	528		
1695	Waiwai	SKIN	ɸit͡ʃho	ɸit͡ʃho	ɸ i t͡ʃ h o	ɸ i t͡ʃ - h o -	528		
1696	Wayana	SKIN	pitpə	pitpə	p i t p ə	p i t - p ə -	528		
1697	Werikyana	SKIN	hi	hi	h i	h i - - - - -	528		
1698	Yawarana	SKIN	pihpə	pihpə	p i h p ə	p i h - p ə -	528		
1699	Ye'kwana	SKIN	hiʔhə	hiʔhə	h i ʔ h ə	h i ʔ - h ə -	528		
1700	Yukpa	SKIN	eʃ	eʃ	e ʃ	e ʃ	529		
1701	Akawaio	SLEEP	eʔnɨmɨ	eʔnɨmɨ	e ʔ n ɨ m ɨ	- e ʔ - n ɨ m ɨ	531		
1702	Akuriyó	SLEEP	əənɨkɨ	əənɨkɨ	ə ə n ɨ k ɨ	- ə ə n ɨ k ɨ	530		
1703	Apalaí	SLEEP	nɨʔ	nɨʔ	n ɨ ʔ	- - - n ɨ ʔ -	530		
1704	Arara	SLEEP	ɨŋkɨ	ɨŋkɨ	ɨ ŋ k ɨ	- ɨ - ŋ - k ɨ	530		
1705	Bakairi	SLEEP	ɨkɨ	ɨkɨ	ɨ k ɨ	- ɨ - - - k ɨ	530		
1706	Hixkaryána	SLEEP	nɨkɨ	nɨkɨ	n ɨ k ɨ	- - - n ɨ k ɨ	530		
1707	Ikpeng	SLEEP	eŋkɨ	eŋkɨ	e ŋ k ɨ	- e - ŋ - k ɨ	530		
1708	Ingarikó	SLEEP	eʔnɨmɨ	eʔnɨmɨ	e ʔ n ɨ m ɨ	- e ʔ - n ɨ m ɨ	531		
1709	Kari'ña	SLEEP	woʔnɨkɨ	woʔnɨkɨ	w o ʔ n ɨ k ɨ	w o ʔ n ɨ k ɨ	530		
1710	Karijona	SLEEP	onɨkɨ	onɨkɨ	o n ɨ k ɨ	- o - n ɨ k ɨ	530		
1711	Kuikuro	SLEEP	ɨŋkɨ	ɨŋkɨ	ɨ ŋ k ɨ	- ɨ - ŋ - k ɨ	530		
1712	Macushi	SLEEP	wetun	wetun	w e t u n	w e t u n - - -	531		
1713	Mapoyo	SLEEP	nɨkɨ	nɨkɨ	n ɨ k ɨ	- - - n ɨ k ɨ	530		
1714	Panare	SLEEP	oketi	oketi	o k e t i	o k e t i	532		
1715	Pemón	SLEEP	weʔnumɨ	weʔnumɨ	w e ʔ n u m ɨ	w e ʔ - n u m ɨ	531		
1716	Tiriyó	SLEEP	əənɨkɨ	əənɨkɨ	ə ə n ɨ k ɨ	- ə ə n ɨ k ɨ	530		
1717	Waimiri-Atroari	SLEEP	noʔ	noʔ	n o ʔ	- - - n o ʔ -	530		
1718	Waiwai	SLEEP	wɨnɨkɨ	wɨnɨkɨ	w ɨ n ɨ k ɨ	w ɨ - n ɨ k ɨ	530		
1719	Wayana	SLEEP	ɨnɨkɨ	ɨnɨkɨ	ɨ n ɨ k ɨ	- ɨ - n ɨ k ɨ	530		
1720	Werikyana	SLEEP	nɨk	nɨk	n ɨ k	- - - n ɨ k -	530		
1721	Yawarana	SLEEP	wənəkɨ	wənəkɨ	w ə n ə k ɨ	w ə - n ə k ɨ	530		
1722	Ye'kwana	SLEEP	ɨnɨkɨ	ɨnɨkɨ	ɨ n ɨ k ɨ	- ɨ - n ɨ k ɨ	530		
1723	Yukpa	SLEEP	ɨnɨke	ɨnɨke	ɨ n ɨ k e	- ɨ - n ɨ k e	530		
1724	Akawaio	SMALL	rɨʔkwɨ	rɨʔkwɨ	r ɨ ʔ k w ɨ	r ɨ ʔ k w ɨ	549		
1725	Akuriyó	SMALL	pit͡ʃikə	pit͡ʃikə	p i t͡ʃ i k ə	- p i t͡ʃ i - k ə -	533		
1726	Apalaí	SMALL	pitiko	pitiko	p i t i k o	- p i t i - k o -	533		
1727	Arara	SMALL	muren	muren	m u r e n	m u r e n	541		
1728	Bakairi	SMALL	imẽĩbɨrɨ	imẽĩbɨrɨ	i m ẽ ĩ b ɨ r ɨ	i m ẽ ĩ b ɨ r ɨ	548		
1729	Hixkaryána	SMALL	at͡ʃket͡ʃko	at͡ʃket͡ʃko	a t͡ʃ k e t͡ʃ k o	a t͡ʃ k e t͡ʃ k o	543		
1730	Ikpeng	SMALL	tɨrɨŋ	tɨrɨŋ	t ɨ r ɨ ŋ	t ɨ r ɨ ŋ	540		
1731	Ingarikó	SMALL	aiko	aiko	a i k o	a i k o	539		
1732	Kari'ña	SMALL	ʔme	ʔme	ʔ m e	ʔ m e	534		
1733	Karijona	SMALL	hit͡ʃa	hit͡ʃa	h i t͡ʃ a	- - - h i - t͡ʃ a -	533		
1734	Kuikuro	SMALL	ĩnt͡soɲo	ĩnt͡soɲo	ĩ n t͡s o ɲ o	ĩ n t͡s o ɲ o	538		
1735	Macushi	SMALL	simonkon	simonkon	s i m o n k o n	s i m o n k o n	536		
1736	Mapoyo	SMALL	waʔkampɨ	waʔkampɨ	w a ʔ k a m p ɨ	w a ʔ k a m p ɨ	545		
1737	Panare	SMALL	pit͡ʃa	pit͡ʃa	p i t͡ʃ a	- p - - i - t͡ʃ a -	533		
1738	Pemón	SMALL	sirəʔkə	sirəʔkə	s i r ə ʔ k ə	s i r ə ʔ k ə	535		
1739	Tamanaku	SMALL	kuju(p)	kuju	k u j u	k u j u	547		
1740	Tiriyó	SMALL	pijan	pijan	p i j a n	- p - - i - j a n	533		
1741	Waimiri-Atroari	SMALL	baʔʃiri; bahinja	bahinja	b a h i n j a	b a h - i n j a	544		
1742	Waimiri-Atroari	SMALL	baʔʃiri; bahinja	baʔʃiri	b a ʔ ʃ i r i	b a ʔ ʃ i r - i	544		
1743	Waiwai	SMALL	wahra	wahra	w a h r a	w a h r a	542		
1744	Wayana	SMALL	aphik(e)	aphik	a p h i k	a p - h i - k - -	533		
1745	Werikyana	SMALL	hikke	hikke	h i k k e	- - - h i k k e -	533		
1746	Yawarana	SMALL	intowmuskə	intowmuskə	i n t o w m u s k ə	i n t o w m u s k ə	546		
1747	Ye'kwana	SMALL	seʔkə	seʔkə	s e ʔ k ə	- - - s e ʔ k ə -	533		
1748	Yukpa	SMALL	kamt͡ʃe	kamt͡ʃe	k a m t͡ʃ e	k a m t͡ʃ e	537		
1749	Akawaio	SMOKE (EXHAUST)	kərəsin	kərəsin	k ə r ə s i n	k ə r ə - s i n - -	550		
1750	Apalaí	SMOKE (EXHAUST)	eresinto	eresinto	e r e s i n t o	- e r e - s i n t o	550		
1751	Bakairi	SMOKE (EXHAUST)	eunu	eunu	e u n u	e u n u	553		
1752	Hixkaryána	SMOKE (EXHAUST)	esɨnɨ	esɨnɨ	e s ɨ n ɨ	e s ɨ n ɨ	551		
1753	Ikpeng	SMOKE (EXHAUST)	jumt͡ʃigru	jumt͡ʃigru	j u m t͡ʃ i g r u	j u m t͡ʃ i g r u	552		
1754	Kari'ña	SMOKE (EXHAUST)	oʔkɨin	oʔkɨin	o ʔ k ɨ i n	o ʔ k ɨ i n	554		
1755	Karijona	SMOKE (EXHAUST)	ərət͡ʃitə	ərət͡ʃitə	ə r ə t͡ʃ i t ə	- ə r ə - t͡ʃ i - t ə	550		
1756	Kuikuro	SMOKE (EXHAUST)	ɣitit͡se	ɣitit͡se	ɣ i t i t͡s e	ɣ i t i t͡s e	556		
1757	Macushi	SMOKE (EXHAUST)	wɨreʔsin	wɨreʔsin	w ɨ r e ʔ s i n	w ɨ r e ʔ s i n - -	550		
1758	Mapoyo	SMOKE (EXHAUST)	eʔinə	eʔinə	e ʔ i n ə	- e ʔ i - - - n - ə	550		
1759	Panare	SMOKE (EXHAUST)	wahtait͡ʃi	wahtait͡ʃi	w a h t a i t͡ʃ i	w a h t a i t͡ʃ i	555		
1760	Pemón	SMOKE (EXHAUST)	kəresin	kəresin	k ə r e s i n	k ə r e - s i n - -	550		
1761	Tiriyó	SMOKE (EXHAUST)	ərentə	ərentə	ə r e n t ə	- ə r e - - - n t ə	550		
1762	Waimiri-Atroari	SMOKE (EXHAUST)	akeɲi	akeɲi	a k e ɲ i	a k e ɲ i	557		
1763	Waiwai	SMOKE (EXHAUST)	sɨn	sɨn	s ɨ n	- s ɨ n -	551		
1764	Wayana	SMOKE (EXHAUST)	ərəhiwə	ərəhiwə	ə r ə h i w ə	- ə r ə - h i - w ə	550		
1765	Werikyana	SMOKE (EXHAUST)	aret͡ʃkuji	aret͡ʃkuji	a r e t͡ʃ k u j i	- a r e t͡ʃ k u j - i	550		
1766	Yawarana	SMOKE (EXHAUST)	tət͡ʃini	tət͡ʃini	t ə t͡ʃ i n i	t ə t͡ʃ i - - - n - i	550		
1767	Ye'kwana	SMOKE (EXHAUST)	werent͡ʃə	werent͡ʃə	w e r e n t͡ʃ ə	w e r e - - - n t͡ʃ ə	550		
1768	Yukpa	SMOKE (EXHAUST)	werasku	werasku	w e r a s k u	w e r a s k - - - u	550		
1769	Akawaio	STAR	sirikə	sirikə	s i r i k ə	s i r i k ə	558		
1770	Akuriyó	STAR	t͡ʃirikə	t͡ʃirikə	t͡ʃ i r i k ə	t͡ʃ i r i k ə	558		
1771	Apalaí	STAR	ʃiriko	ʃiriko	ʃ i r i k o	ʃ i r i k o	558		
1772	Arara	STAR	t͡ʃiriŋ	t͡ʃiriŋ	t͡ʃ i r i ŋ	t͡ʃ i r i ŋ -	558		
1773	Bakairi	STAR	ʃimukə	ʃimukə	ʃ i m u k ə	ʃ i m u k ə	558		
1774	Hixkaryána	STAR	ʃerʲko	ʃerʲko	ʃ e rʲ k o	ʃ e rʲ - k o	558		
1775	Ikpeng	STAR	tɨriŋ	tɨriŋ	t ɨ r i ŋ	t ɨ r i ŋ -	558		
1776	Kari'ña	STAR	siriko	siriko	s i r i k o	s i r i k o	558		
1777	Karijona	STAR	t͡ʃirikə	t͡ʃirikə	t͡ʃ i r i k ə	t͡ʃ i r i k ə	558		
1778	Kuikuro	STAR	kãntiɲoko	kãntiɲoko	k ã n t i ɲ o k o	k ã n t i ɲ o k o	560		
1779	Macushi	STAR	sirikɨ	sirikɨ	s i r i k ɨ	s i r i k ɨ	558		
1780	Mapoyo	STAR	sihkə	sihkə	s i h k ə	s i h - k ə	558		
1781	Panare	STAR	tjakən	tjakən	t j a k ə n	t j a k ə n	559		
1782	Pemón	STAR	sirikə	sirikə	s i r i k ə	s i r i k ə	558		
1783	Tamanaku	STAR	t͡ʃirika	t͡ʃirika	t͡ʃ i r i k a	t͡ʃ i r i k a	558		
1784	Tiriyó	STAR	sirikə	sirikə	s i r i k ə	s i r i k ə	558		
1785	Waimiri-Atroari	STAR	ʃiriki	ʃiriki	ʃ i r i k i	ʃ i r i k i	558		
1786	Waiwai	STAR	ʃirʲko	ʃirʲko	ʃ i rʲ k o	ʃ i rʲ - k o	558		
1787	Wayana	STAR	hirikə	hirikə	h i r i k ə	h i r i k ə	558		
1788	Werikyana	STAR	t͡ʃirko	t͡ʃirko	t͡ʃ i r k o	t͡ʃ i r - k o	558		
1789	Yawarana	STAR	sirika	sirika	s i r i k a	s i r i k a	558		
1790	Ye'kwana	STAR	sirit͡ʃə	sirit͡ʃə	s i r i t͡ʃ ə	s i r i t͡ʃ ə	558		
1791	Yukpa	STAR	ʃeku	ʃeku	ʃ e k u	ʃ e - - k u	558		
1792	Akawaio	STONE	təʔ	təʔ	t ə ʔ	t ə - ʔ - -	561		
